Gemeinde-Nr.	BFS Gemeinden	Kanton	FDP	CVP	SPS	SVP	LPS	EVP	CSP	GLP	PdA Sol.	FGA	GPS	SD	EDU	FPS	Lega	Übrige	Wahlberechtigte	Wählende
1	Aeugst am Albis	ZH	16.4	3.3	19.2	32.7	  	6	0	7.1	0.2	  	0.5	11	0.4	2.9	0.1	  	0.2	1220	701
2	Affoltern am Albis	ZH	11.4	8.2	17.3	37.5	  	4.7	0.2	6.4	0.1	  	0.5	10	0.5	2.8	0	  	0.4	6284	2868
3	Bonstetten	ZH	17.2	6.2	20.4	30.6	  	3.6	0.2	8.6	0.1	  	0.3	10.3	0.4	2	0	  	0.1	3316	1788
4	Hausen am Albis	ZH	11.7	6.6	18.3	39.3	  	2.7	0	7.1	0.1	  	0.4	12.5	0.2	0.9	0	  	0.2	2312	1261
5	Hedingen	ZH	13.8	7.8	19.4	34	  	4	0	7.7	0	  	0.8	9.6	0.1	2.5	- 	  	0.3	2206	1258
6	Kappel am Albis	ZH	7.4	6.7	10.9	54.7	  	6.4	0	6.3	0.1	  	0.4	5.7	0.3	0.9	0	  	0.2	620	332
7	Knonau	ZH	11	7.9	15.5	36.2	  	10	0	6.1	0	  	0.2	8.8	0.3	3.1	0.1	  	0.7	1176	613
8	Maschwanden	ZH	3.5	5.2	21.4	45	  	8	0	6.6	- 	  	0.6	6.6	0.1	2.7	0	  	0.3	428	227
9	Mettmenstetten	ZH	11.4	6.6	18	35.1	  	4.6	0.1	7.5	0.3	  	0.6	10.7	0.6	4.4	0	  	0.3	2863	1598
10	Obfelden	ZH	12	9	15.6	38	  	5.2	0.2	6.1	0	  	0.5	8.9	0.3	4.1	0	  	0.2	2997	1485
11	Ottenbach	ZH	15.5	7.4	20	34.1	  	3.1	0	5.6	0.4	  	0.6	10.6	0	2.3	0	  	0.3	1718	978
12	Rifferswil	ZH	6.6	5.3	22.8	32.8	  	5.2	0	8.8	0.1	  	0.5	14.3	1.2	2.3	0.1	  	0.1	599	416
13	Stallikon	ZH	17.4	6.3	16.1	39.8	  	2.5	0	6.7	0.1	  	0.5	9.2	0.4	0.7	0	  	0.3	2024	1111
14	Wettswil am Albis	ZH	19	9.7	15.4	35.1	  	3.5	0.1	7.1	0	  	0.3	7.7	0.1	1.8	0	  	0.2	3083	1759
21	Adlikon	ZH	7.7	4.3	8.6	53	  	3.8	0.4	5.8	- 	  	0.1	9.7	0.4	4.9	- 	  	1.5	490	299
22	Benken (ZH)	ZH	5.8	4.3	14.3	55.5	  	1.4	- 	4.2	0.1	  	1.5	7.5	0.2	3.5	1.3	  	0.4	557	278
23	Berg am Irchel	ZH	9.2	4.9	9.6	52.3	  	4.3	0	6.9	0	  	0.1	10	- 	2.5	- 	  	0	456	282
24	Buch am Irchel	ZH	12.2	5.8	8.6	46.8	  	3.4	- 	9.5	0.3	  	0.1	8.2	0.7	4	- 	  	0.5	594	342
25	Dachsen	ZH	11.1	9	18.8	35.2	  	3.9	0	5.5	0	  	0.7	12.1	0.2	3.1	0.3	  	0.1	1255	623
26	Dorf	ZH	7.4	3.3	9.5	55.5	  	4.8	0.1	3.6	- 	  	0	6.8	0	8.9	0	  	0	446	268
27	Feuerthalen	ZH	9.9	10.7	20.9	37.4	  	2.9	0	4.9	0	  	0.5	9.9	0.2	2.4	0	  	0.4	2167	960
28	Flaach	ZH	6.5	1.9	9.2	58.3	  	6.2	0	6	0	  	0.5	5.7	0.1	5.4	0	  	0.1	837	515
